ValueDate,Account,ExternalReference,OurBalance,Status,ExtBalance,amtDiff,isdiff,Book,ParenExRef,extCparty,firm,center,ourUpdated,extUpdated
24/05/2018,Forestry Fund,D-p1bacx,"-4,289.12",M,"-4,289.12",0,FALSE,FORESTRYFU,FORESTRYFU/D-P1BACX,DEFRA-LON,DEFRA,LON,TRUE,TRUE
24/05/2018,GACA,B-dutyx,"12,152.50",M,"12,152.50",0,FALSE,GACA,GACA/B-DUTYX,HMRC-NIR,HMRC,NIR,TRUE,TRUE
24/05/2018,GCHQ,D-p1bacx,"-15,488.48",M,"-15,488.48",0,FALSE,GCHQ,GCHQ/D-P1BACX,MOD-OTH,MOD,OTH,TRUE,TRUE
24/05/2018,Government Department's Foreign Exchange Payments,DZ-pfep,0,M,0,0,FALSE,GOVERNMENT,GOVERNMENT/DZ-PFEP,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Health,D-p1bacx,"-1,193,963.46",M,"-1,193,963.46",0,FALSE,HEALTH,HEALTH/D-P1BACX,HEALTH-OTH,HEALTH,OTH,TRUE,TRUE
24/05/2018,Health authorities,D-p1chpx,"-130,897.54",M,"-130,897.54",0,FALSE,GRANTSTORA,GRANTSTORA/D-P1BACX,DFT-LON,DFT,LON,TRUE,TRUE
24/05/2018,Highways Agency,D-p1bacx,"-22,081.02",M,"-22,081.02",0,FALSE,HIGHWAYSAG,HIGHWAYSAG/D-P1BACX,TRANSPORT-LON,TRANSPORT,LON,TRUE,TRUE
24/05/2018,HM Revenue & Customs,D-p1bacx,"-88,482.92",M,"-88,482.92",0,FALSE,HMREVENUEA,HMREVENUEA/D-P1BACX,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,HMRC,D-p1chpx,"-17,235.90",M,"-17,235.90",0,FALSE,HMRC,HMRC/D-P1CHPX,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Home office,D-p1bacx,"-118,268.47",M,"-118,268.47",0,FALSE,HOMEOFFICE,HOMEOFFICE/D-P1BACX,HOME-LON,HOME,LON,TRUE,TRUE
24/05/2018,Home Office,D-p1chpx,0,M,0,0,FALSE,HOMEOFFICE,HOMEOFFICE/D-P1CHPX,HOME-LON,HOME,LON,TRUE,TRUE
24/05/2018,House of Commons,D-p1bacx,"-9,531.37",M,"-9,531.37",0,FALSE,HOUSEOFCOM,HOUSEOFCOM/D-P1BACX,CROWN-LON,CROWN,LON,TRUE,TRUE
24/05/2018,Housing Corporation,D-p1bacx,"-45,035.74",M,"-45,035.74",0,FALSE,HOUSINGCOR,HOUSINGCOR/D-P1BACX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,In Credit Clearing,B-vetf,397.14,M,397.14,0,FALSE,INCREDITCL,INCREDITCL/B-VETF,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,In Debit Clearing,B-vmtf,"80,698.97",M,"80,698.97",0,FALSE,INDEBITCLE,INDEBITCLE/B-VMTF,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,Insolvency Services,D-p1bacx,"-1,429.71",M,"-1,429.71",0,FALSE,INSOLVENCY,INSOLVENCY/D-P1BACX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,IPT,B-dutyx,"10,166.80",M,"10,166.80",0,FALSE,IPT,IPT/B-DUTYX,HMRC-NIR,HMRC,NIR,TRUE,TRUE
24/05/2018,IR balance transfer to  CF,AZ-ircf,0,M,0,0,FALSE,IRBALANCET,IRBALANCET/AZ-IRCF,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,IR Balance Transfer to CF,R-irbal,0,M,0,0,FALSE,IRBALANCET,IRBALANCET/R-IRBAL,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,Landfill tax,B-dutyx,"75,853.85",M,"75,853.85",0,FALSE,LANDFILLTA,LANDFILLTA/B-DUTYX,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Learning & Skills Council,D-p1bacx,"-13,343.92",M,"-13,343.92",0,FALSE,LEARNINGAN,LEARNINGAN/D-P1BACX,EDU-OTH,EDU,OTH,TRUE,TRUE
24/05/2018,Misc. PMG Receipts,D-mscPR,"162,271.64",M,"162,271.64",0,FALSE,MISC.PMGRE,MISC.PMGRE/D-MSCPR,OTHER-OTH,OTHER,OTH,TRUE,TRUE
24/05/2018,Miscellaneous,B-dutyx,"2,382.84",M,"2,382.84",0,FALSE,MISC,MISC/B-DUTYX,OTHER-OTH,OTHER,OTH,TRUE,TRUE
24/05/2018,MOD Liverpool,D-p1bacx,"-531,532.96",M,"-531,532.96",0,FALSE,MODLIVERPO,MODLIVERPO/D-P1BACX,MOD-OTH,MOD,OTH,TRUE,TRUE
24/05/2018,MOD Liverpool,D-p1chpx,"-4,368.55",M,"-4,368.55",0,FALSE,MODLIVERPO,MODLIVERPO/D-P1CHPX,MOD-OTH,MOD,OTH,TRUE,TRUE
24/05/2018,MOJ -Core,D-p1bacx,"-44,479.75",M,"-44,479.75",0,FALSE,MOJ-CORE,MOJ-CORE/D-P1BACX,MOJ-OTH,MOJ,OTH,TRUE,TRUE
24/05/2018,MOJ -Scotland,D-p1bacx,"-5,401.11",M,"-5,401.11",0,FALSE,MOJ-SCOTLA,MOJ-SCOTLA/D-P1BACX,MOJ-SCO,MOJ,SCO,TRUE,TRUE
24/05/2018,MOJ -Scotland,D-p1chpx,0,M,0,0,FALSE,MOJ-SCOTLA,MOJ-SCOTLA/D-P1CHPX,MOJ-SCO,MOJ,SCO,TRUE,TRUE
24/05/2018,Motor Vehicle Licensing,D-mvl,"55,043.69",M,"55,043.69",0,FALSE,MOTORVEHIC,MOTORVEHIC/D-MVL,TRANSPORT-LON,TRANSPORT,LON,TRUE,TRUE
24/05/2018,Nat West Bank Shipley,A-bnatw,"88,403.49",M,"88,403.49",0,FALSE,NWTOSHIP,NWTOSHIP/A-BNATW,NATWEST-OTH,NATWEST,OTH,TRUE,TRUE
24/05/2018,National Insurance Fund,AZ-iropgx,"-584,034.95",M,"-584,034.95",0,FALSE,NIFUND,NIFUND/AZ-IROPGX,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,National Insurance Fund,DZ-iropgx,"584,034.95",M,"584,034.95",0,FALSE,NIFUND,NIFUND/DZ-IROPGX,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,NDA,D-p1chpx,"-77,124.70",M,"-77,124.70",0,FALSE,NDA,NDA/D-P1CHPX,OTHER-EMI,OTHER,EMI,TRUE,TRUE
24/05/2018,NHS Northern Ireland,A-tidx,-158.86,M,-158.86,0,FALSE,NHSNORTHER,NHSNORTHER/A-TIDX,NHS-NIR,NHS,NIR,TRUE,TRUE
24/05/2018,NHS Pensions,D-p1bacx,"-81,652.10",M,"-81,652.10",0,FALSE,NHSPENSION,NHSPENSION/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,NIC to NI,A-tnini,-635.42,M,-635.42,0,FALSE,NICTONI,NICTONI/A-TNINI,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,NICs to NIF,AZ-tnif,0,M,0,0,FALSE,NICSTONIF,NICSTONIF/AZ-TNIF,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,NICs to NIF,DZ-tnif,0,M,0,0,FALSE,NICSTONIF,NICSTONIF/DZ-TNIF,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,NIF Benefits Girobanks,D-p1chpx,"-6,354.25",M,"-6,354.25",0,FALSE,NIFBENEFIT,NIFBENEFIT/D-P1CHPX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,NIF3,D-p1bacx,"-941,699.76",M,"-941,699.76",0,FALSE,NIF3,NIF3/D-P1BACX,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,NNDR,D-oidrx,"15,885.62",M,"15,885.62",0,FALSE,NNDR,NNDR/D-OIDRX,NICS-NIR,NICS,NIR,TRUE,TRUE
24/05/2018,Non-VAT BACS Repayments,B-notvatbacs,"-3,018.27",M,"-3,018.27",0,FALSE,NON-VATBAC,NON-VATBAC/B-NOTVATBACS,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Northern Ireland Office,D-p1chpx,"-93,725.18",M,"-93,725.18",0,FALSE,NIOFFICE,NIOFFICE/D-P1CHPX,NICS-NIR,NICS,NIR,TRUE,TRUE
24/05/2018,NS&I Payments -Interest & PSB Prizes payments,F-nspin,"-7,942.81",M,"-7,942.81",0,FALSE,NSANDIPAYM,NSANDIPAYM/F-NSPIN,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,NS&I Receipts,F-nsrec,"82,525.81",M,"82,525.81",0,FALSE,NSANDIRECE,NSANDIRECE/F-NSREC,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,NS&I Total Forecast,F-nstot,0,M,0,0,FALSE,NSANDITOTA,NSANDITOTA/F-NSTOT,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,NS&I Ways & Means into NLF,F-nswm,"-6,115.97",M,"-6,115.97",0,FALSE,NSANDIWAYS,NSANDIWAYS/F-NSWM,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,NTC / WFTC,A-tidx,"-159,968.23",M,"-159,968.23",0,FALSE,NTCWFTC,NTCWFTC/A-TIDX,NICS-NIR,NICS,NIR,TRUE,TRUE
24/05/2018,O/n Adjustment,D-pzzzz,0,M,0,0,FALSE,ONADJUSTME,ONADJUSTME/D-PZZZZ,OTHER-OTH,OTHER,OTH,TRUE,TRUE
24/05/2018,Oil,B-dutyx,"1,848,848.29",M,"1,848,848.29",0,FALSE,OIL,OIL/B-DUTYX,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,OPG transfers to IR,AZ-opgir,"15,091.34",M,"15,091.34",0,FALSE,OPGTCFRIR,OPGTCFRIR/AZ-OPGIR,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,OPG Transfers to IR,DZ-opgir,"-15,091.34",M,"-15,091.34",0,FALSE,OPGTCFRIR,OPGTCFRIR/DZ-OPGIR,INLAND-OTH,INLAND,OTH,TRUE,TRUE
24/05/2018,Ordnance Survey,D-p1bacx,"-1,826.85",M,"-1,826.85",0,FALSE,ORDNANCESU,ORDNANCESU/D-P1BACX,DEFRA-LON,DEFRA,LON,TRUE,TRUE
24/05/2018,Other,B-dutyx,0,M,0,0,FALSE,OTHERRCPT,OTHERRCPT/D-OIDR,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,Other identified,D-p1chpx,"-36,139.79",M,"-36,139.79",0,FALSE,OTHERRCPT,OTHERRCPT/D-OIDR,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,Other identified receipts,D-oidr,"53,216.84",M,"53,216.84",0,FALSE,OTHERRCPT,OTHERRCPT/D-OIDR,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,Paymaster Lodgement,D-p1lod,"-6,592.53",M,"-6,592.53",0,FALSE,PAYMASTER,PAYMASTER/D-P1LOD,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Payroll,D-p1bacx,"-126,290.71",M,"-126,290.71",0,FALSE,PAYROLL,PAYROLL/D-P1BACX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Post Office Loan,D-p1chpx,"-87,370.93",M,"-87,370.93",0,FALSE,POLOANREP,POLOANREP/D-OIDRX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Principal repayments from NLF to NS&I,F-nsppr,"-41,064.34",M,"-41,064.34",0,FALSE,PRINCIPALR,PRINCIPALR/F-NSPPR,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Repayment of maturing OPG TDs (incl interest) BACS,S-opgtdmat,"-216,997.62",M,"-216,997.62",0,FALSE,RPAYMAT,RPAYMAT/S-OPGTDMAT,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Research Councils,D-p1bacx,"-10,643.37",M,"-10,643.37",0,FALSE,RESEARCHCO,RESEARCHCO/D-P1BACX,EDU-OTH,EDU,OTH,TRUE,TRUE
24/05/2018,Residual,A-resid,"12,231.93",M,"12,231.93",0,FALSE,RESIDUAL,RESIDUAL/A-RESID,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,Residual,D-p1bacx,"-17,156.47",M,"-17,156.47",0,FALSE,RESIDUAL,RESIDUAL/D-P1BACX,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,Residual,D-p1chpx,"-15,726.77",M,"-15,726.77",0,FALSE,RESIDUAL,RESIDUAL/D-P1CHPX,OTHER-SOE,OTHER,SOE,TRUE,TRUE
24/05/2018,RSG England,D-p1bacx,"-54,408.26",M,"-54,408.26",0,FALSE,RSGENGLAND,RSGENGLAND/D-P1BACX,HOME-LON,HOME,LON,TRUE,TRUE
24/05/2018,RSG Scotland,D-p1bacx,"-106,592.53",M,"-106,592.53",0,FALSE,RSGSCOTLAN,RSGSCOTLAN/D-P1BACX,SCOTGOV-SCO,SCOTGOV,SCO,TRUE,TRUE
24/05/2018,RSG Wales,D-p1bacx,"-31,771.25",M,"-31,771.25",0,FALSE,RSGWALES,RSGWALES/D-P1BACX,WELSHGOV-WAL,WELSHGOV,WAL,TRUE,TRUE
24/05/2018,Rural Payments Agency,D-p1bacx,"-14,138.20",M,"-14,138.20",0,FALSE,RURALPAYME,RURALPAYME/D-P1BACX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Scotland NHS,DZ-iropgx,794.28,M,794.28,0,FALSE,SCOTLANDNH,SCOTLANDNH/DZ-IROPGX,NHS-SCO,NHS,SCO,TRUE,TRUE
24/05/2018,Scotland NHS,AZ-iropgx,-794.28,M,-794.28,0,FALSE,SCOTLANDNH,SCOTLANDNH/AZ-IROPGX,NHS-SCO,NHS,SCO,TRUE,TRUE
24/05/2018,Social Security benefits,D-p1bacx,"-440,428.91",M,"-440,428.91",0,FALSE,SOCIALSECU,SOCIALSECU/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,Student Loans,D-p1bacx,"-13,979.35",M,"-13,979.35",0,FALSE,STUDENTLOA,STUDENTLOA/D-P1BACX,EDU-OTH,EDU,OTH,TRUE,TRUE
24/05/2018,TDs maturing (non-OPG) interest,S-tdint,"-1,599,682.29",M,"-1,599,682.29",0,FALSE,TSDMATINT,TSDMATINT/S-TDINT,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,TDs taken (non-OPG),S-tdrnonopg,"1,599,682.29",M,"1,599,682.29",0,FALSE,TDSTKNN,TDSTKNN/S-TDRNONOPG,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,TDs taken (OPG),S-tdropg,"143,288.32",M,"143,288.32",0,FALSE,TDSTKNO,TDSTKNO/S-TDROPG,NSI-OTH,NSI,OTH,TRUE,TRUE
24/05/2018,Teachers Superannuation,D-p1chpx,"-49,960.29",M,"-49,960.29",0,FALSE,TEACHERSSU,TEACHERSSU/D-P1CHPX,EDU-OTH,EDU,OTH,TRUE,TRUE
24/05/2018,VAT BACS Repayments,B-vrpay,"-206,433.68",M,"-206,433.68",0,FALSE,VATBACSREP,VATBACSREP/B-VRPAY,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,VAT CHAPS Receipts,B-votc,"3,967,752.18",M,"3,967,752.18",0,FALSE,VATCHPSREC,VATCHPSREC/B-VOTC,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,VAT CHAPS Repayments,B-yrpay,-953.14,M,-953.14,0,FALSE,VATCHPSREP,VATCHPSREP/B-YRPAY,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,VAT Payable Order Repayments,B-xrpay,"-5,559.97",M,"-5,559.97",0,FALSE,VATPAYABLE,VATPAYABLE/B-XRPAY,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Wales NHS,DZ-iropgx,"3,018.27",M,"3,018.27",0,FALSE,WALESNHS,WALESNHS/DZ-IROPGX,NHS-WAL,NHS,WAL,TRUE,TRUE
24/05/2018,Wales NHS,AZ-iropgx,"-3,018.27",M,"-3,018.27",0,FALSE,WALESNHS,WALESNHS/AZ-IROPGX,NHS-WAL,NHS,WAL,TRUE,TRUE
24/05/2018,War Pensions Agency,D-p1bacx,"-4,765.69",M,"-4,765.69",0,FALSE,WARPENSION,WARPENSION/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,War Pensions Agency,D-p1chpx,,I,658.7,658.7,TRUE,WARPENSION,WARPENSION/D-P1BACX,DWP-LON,DWP,LON,FALSE,TRUE
