sourceTimeband,sourceValueDate,sourceAccount,sourceExternalReference,sourceBalance,wrkACCOUNT NAME,wrkCurrency,wrkTime,wrkCounterparty,Firm,Center,ParentExtRefNo,DealType,ExecType,ValueDate,Adjustment,Notes,ExtRefNo,RedefaultValues,Portfolio,runningBalance
14:15:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/14:15,3180605141500067,N,3,-20651.31
15:15:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/15:15,4180605151500068,N,4,-20651.31
15:40:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/15:40,5180605154000069,N,5,-20651.31
16:05:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/16:05,6180605160500070,N,6,-20651.31
16:30:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/16:30,7180605163000071,N,7,-20651.31
09:30:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,14694.2,Commercial/DEPOSIT/18-06-18/09:30,1180605093000072,N,1,-5957.11
12:45:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/12:45,2180605124500073,N,2,-5957.11
14:15:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/14:15,3180605141500074,N,3,-5957.11
15:15:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/15:15,4180605151500075,N,4,-5957.11
15:40:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/15:40,5180605154000076,N,5,-5957.11
16:05:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/16:05,6180605160500077,N,6,-5957.11
16:30:00,13/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,18/06/2018,0,Commercial/DEPOSIT/18-06-18/16:30,7180605163000078,N,7,-5957.11
09:30:00,15/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/09:30,1180605093000079,N,1,-5957.11
12:45:00,15/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/12:45,2180605124500080,N,2,-5957.11
14:15:00,15/01/2010,Commercial,DEPOSIT,-6830.82,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,-873.71,Commercial/DEPOSIT/20-06-18/14:15,3180605141500081,N,3,-6830.82
15:15:00,15/01/2010,Commercial,DEPOSIT,-6830.82,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/15:15,4180605151500082,N,4,-6830.82
15:40:00,15/01/2010,Commercial,DEPOSIT,-6830.82,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/15:40,5180605154000083,N,5,-6830.82
16:05:00,15/01/2010,Commercial,DEPOSIT,-6830.82,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/16:05,6180605160500084,N,6,-6830.82
16:30:00,15/01/2010,Commercial,DEPOSIT,-6830.82,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,20/06/2018,0,Commercial/DEPOSIT/20-06-18/16:30,7180605163000085,N,7,-6830.82
09:30:00,18/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/09:30,1180605093000086,N,1,-6830.82
12:45:00,18/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/12:45,2180605124500087,N,2,-6830.82
14:15:00,18/01/2010,Commercial,DEPOSIT,-6036.54,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,794.28,Commercial/DEPOSIT/25-06-18/14:15,3180605141500088,N,3,-6036.54
15:15:00,18/01/2010,Commercial,DEPOSIT,-6036.54,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/15:15,4180605151500089,N,4,-6036.54
15:40:00,18/01/2010,Commercial,DEPOSIT,-6036.54,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/15:40,5180605154000090,N,5,-6036.54
16:05:00,18/01/2010,Commercial,DEPOSIT,-6036.54,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/16:05,6180605160500091,N,6,-6036.54
16:30:00,18/01/2010,Commercial,DEPOSIT,-6036.54,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,25/06/2018,0,Commercial/DEPOSIT/25-06-18/16:30,7180605163000092,N,7,-6036.54
09:30:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,79.43,Commercial/DEPOSIT/27-06-18/09:30,1180605093000093,N,1,-5957.11
12:45:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,0,Commercial/DEPOSIT/27-06-18/12:45,2180605124500094,N,2,-5957.11
14:15:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,0,Commercial/DEPOSIT/27-06-18/14:15,3180605141500095,N,3,-5957.11
15:15:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,0,Commercial/DEPOSIT/27-06-18/15:15,4180605151500096,N,4,-5957.11
15:40:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,0,Commercial/DEPOSIT/27-06-18/15:40,5180605154000097,N,5,-5957.11
16:05:00,20/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,27/06/2018,0,Commercial/DEPOSIT/27-06-18/16:05,6180605160500098,N,6,-5957.11
