Transaction UUID,Status,OriginalAmount,OriginalCurrency,MerchantAmount,MerchantCurrency,CustomerAmount,CustomerCurrency,Operation,Reference No,Create Date
3641005-1458747951-264,DECLINED,95,TRY,29.55,EUR,100.23,TRY,3DAUTH,49643475,23/03/2016 15:45
3640966-1458747915-134,APPROVED,8.92,EUR,8.92,EUR,8.92,EUR,REFUND,215-1458747914-3937-4491569,23/03/2016 15:45
3640963-1458747913-264,WAITING,95,TRY,29.55,EUR,100.23,TRY,3D,49643475,23/03/2016 15:45
3640960-1458747904-289,WAITING,400,TRY,400,TRY,400,TRY,3D,155928332,23/03/2016 15:45
3640954-1458747901-224,DECLINED,18.23,EUR,18.23,EUR,2425.28,JPY,DIRECT,12-1458747900-7292-3378623,23/03/2016 15:45
3640981-1458747922-107,APPROVED,30.98,EUR,30.98,EUR,105.09,TRY,3DAUTH,578-1458747899-5216-695531,23/03/2016 15:45
3640948-1458747899-254,WAITING,350,TRY,350,TRY,350,TRY,3D,PK-10817,23/03/2016 15:44
3640942-1458747896-119,APPROVED,50,EUR,50,EUR,498.77,NOK,DIRECT,443-1458747895-8896-4668074,23/03/2016 15:44
3640990-1458747923-216,APPROVED,10.89,EUR,10.89,EUR,36.94,TRY,3DAUTH,10-1458747895-6215-3696074,23/03/2016 15:45
3640933-1458747889-126,APPROVED,41,EUR,41,EUR,408.99,NOK,DIRECT,48-1458747889-4003-4668070,23/03/2016 15:44
3640930-1458747888-216,WAITING,10.89,EUR,10.89,EUR,36.94,TRY,3D,10-1458747888-2701-747890,23/03/2016 15:44
3640927-1458747888-119,APPROVED,350,EUR,350,EUR,3491.37,NOK,DIRECT,5-1458747888-4497-981592,23/03/2016 15:44
3640957-1458747901-56,DECLINED,16.06,EUR,16.06,EUR,54.48,TRY,3DAUTH,30102351,23/03/2016 15:45
3640921-1458747867-224,APPROVED,227.43,EUR,227.43,EUR,30256.75,JPY,DIRECT,12-1458747864-4549-4668066,23/03/2016 15:44
3640936-1458747891-196,APPROVED,19.91,EUR,19.91,EUR,198.61,NOK,3DAUTH,1573-1458747861-6705-4570376,23/03/2016 15:44
3640945-1458747896-216,DECLINED,12.14,EUR,12.14,EUR,41.18,TRY,3DAUTH,10-1458747851-2134-3144536,23/03/2016 15:44
3640975-1458747918-216,DECLINED,31.13,EUR,31.13,EUR,105.6,TRY,3DAUTH,10-1458747849-4909-4627223,23/03/2016 15:45
3640903-1458747840-224,APPROVED,1788.26,EUR,1788.26,EUR,237905.84,JPY,DIRECT,12-1458747839-951-4437481,23/03/2016 15:44
3640918-1458747867-107,APPROVED,30.98,EUR,30.98,EUR,105.09,TRY,3DAUTH,578-1458747837-2731-728249,23/03/2016 15:44
3640897-1458747835-187,APPROVED,31.74,EUR,31.74,EUR,316.62,NOK,DIRECT,346-1458747834-9711-2739552,23/03/2016 15:43
3640912-1458747854-56,DECLINED,16.7,EUR,16.7,EUR,56.65,TRY,3DAUTH,30102330,23/03/2016 15:44
3640891-1458747828-171,DECLINED,30,EUR,30,EUR,299.27,NOK,DIRECT,34-1458747828-0734-4116199,23/03/2016 15:43
3640888-1458747823-224,APPROVED,9.12,EUR,9.12,EUR,1213.31,JPY,DIRECT,12-1458747822-5893-3880573,23/03/2016 15:43
3640885-1458747818-199,DECLINED,21.73,EUR,21.73,EUR,216.77,NOK,DIRECT,424-1458747817-692-4370920,23/03/2016 15:43
3640879-1458747809-96,WAITING,350,TRY,350,TRY,350,TRY,3D,WC-10622,23/03/2016 15:43
3640876-1458747808-187,DECLINED,37.03,EUR,37.03,EUR,369.39,NOK,DIRECT,346-1458747808-0896-2739552,23/03/2016 15:43
3640873-1458747794-199,DECLINED,76.05,EUR,76.05,EUR,758.63,NOK,DIRECT,424-1458747793-7119-4370920,23/03/2016 15:43
3640864-1458747788-160,APPROVED,15.53,EUR,15.53,EUR,12.94,GBP,3DAUTH,598-1458747780-1495-630068,23/03/2016 15:43
3640855-1458747780-224,APPROVED,182.39,EUR,182.39,EUR,24264.73,JPY,DIRECT,12-1458747779-6883-3470288,23/03/2016 15:43
3640852-1458747777-187,DECLINED,42.31,EUR,42.31,EUR,422.06,NOK,DIRECT,346-1458747776-6647-2739552,23/03/2016 15:42
3640849-1458747776-261,APPROVED,106.98,EUR,106.98,EUR,1067.17,NOK,DIRECT,32-1458747776-2446-4593230,23/03/2016 15:42
3640861-1458747785-264,APPROVED,18,TRY,5.59,EUR,18.99,TRY,3DAUTH,49642961,23/03/2016 15:43
3640870-1458747792-164,APPROVED,150,EUR,150,EUR,150,EUR,3DAUTH,219-1458747758-1752-577289,23/03/2016 15:43
3640834-1458747756-200,APPROVED,54.8,EUR,54.8,EUR,546.65,NOK,STORED,59-1458747755-8004-177198,23/03/2016 15:42
3640831-1458747751-187,DECLINED,47.6,EUR,47.6,EUR,474.83,NOK,DIRECT,346-1458747750-692-2739552,23/03/2016 15:42
3640867-1458747791-216,DECLINED,28.01,EUR,28.01,EUR,95.01,TRY,3DAUTH,10-1458747748-9655-2421141,23/03/2016 15:43
3640822-1458747744-171,DECLINED,30,EUR,30,EUR,299.27,NOK,DIRECT,34-1458747744-3918-399292,23/03/2016 15:42
3640816-1458747743-199,DECLINED,65.18,EUR,65.18,EUR,650.2,NOK,DIRECT,424-1458747742-4132-4370920,23/03/2016 15:42
3640813-1458747736-261,APPROVED,17.12,EUR,17.12,EUR,170.78,NOK,DIRECT,32-1458747735-4885-45867,23/03/2016 15:42
3640828-1458747750-216,APPROVED,14.63,EUR,14.63,EUR,49.63,TRY,3DAUTH,10-1458747730-8384-4157698,23/03/2016 15:42
3640843-1458747763-61,APPROVED,30,EUR,30,EUR,30,EUR,3DAUTH,30102306,23/03/2016 15:42
3640804-1458747724-187,DECLINED,52.89,EUR,52.89,EUR,527.6,NOK,DIRECT,346-1458747723-8037-2739552,23/03/2016 15:42
3640819-1458747743-126,APPROVED,51.25,EUR,51.25,EUR,509.97,NOK,3DAUTH,47-1458747716-3919-4527356,23/03/2016 15:42
3640846-1458747771-101,APPROVED,32.13,EUR,32.13,EUR,108.99,TRY,3DAUTH,99-1458747715-5691-4333021,23/03/2016 15:42
3640792-1458747716-216,WAITING,14.01,EUR,14.01,EUR,47.53,TRY,3D,10-1458747715-5231-4157698,23/03/2016 15:41
3640789-1458747715-224,APPROVED,25.97,EUR,25.97,EUR,258.42,NOK,DIRECT,12-1458747714-6975-242566,23/03/2016 15:41
3640786-1458747713-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155927902,23/03/2016 15:41
3640783-1458747704-199,DECLINED,54.32,EUR,54.32,EUR,540.52,NOK,DIRECT,424-1458747703-3969-4370920,23/03/2016 15:41
3640777-1458747667-171,DECLINED,30,EUR,30,EUR,298.52,NOK,DIRECT,34-1458747667-1753-399292,23/03/2016 15:41
3640771-1458747664-119,APPROVED,25,EUR,25,EUR,248.77,NOK,DIRECT,5-1458747664-3943-28187,23/03/2016 15:41
3640801-1458747717-264,DECLINED,80,TRY,24.89,EUR,84.4,TRY,3DAUTH,49642243,23/03/2016 15:41
3640762-1458747656-145,APPROVED,26.48,EUR,26.48,EUR,263.5,NOK,DIRECT,73-1458747655-5357-1924722,23/03/2016 15:40
3640780-1458747694-203,APPROVED,15.5,EUR,15.5,EUR,52.58,TRY,3DAUTH,1477-1458747648-068-4668062,23/03/2016 15:41
3640756-1458747647-224,APPROVED,108.23,EUR,108.23,EUR,1076.95,NOK,DIRECT,12-1458747646-9144-162830,23/03/2016 15:40
3640750-1458747640-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155927762,23/03/2016 15:40
3640774-1458747666-216,APPROVED,12.45,EUR,12.45,EUR,42.23,TRY,3DAUTH,10-1458747637-9432-447194,23/03/2016 15:41
3640768-1458747662-101,APPROVED,27.94,EUR,27.94,EUR,94.78,TRY,3DAUTH,228-1458747634-4582-4658650,23/03/2016 15:41
3640738-1458747631-224,APPROVED,27.36,EUR,27.36,EUR,3639.86,JPY,DIRECT,12-1458747630-7564-3880573,23/03/2016 15:40
3640753-1458747645-216,APPROVED,10.89,EUR,10.89,EUR,36.94,TRY,3DAUTH,10-1458747620-9974-4419382,23/03/2016 15:40
3640729-1458747621-171,DECLINED,30,EUR,30,EUR,298.52,NOK,DIRECT,34-1458747620-7588-399292,23/03/2016 15:40
3640726-1458747620-56,WAITING,8.03,EUR,8.03,EUR,27.24,TRY,3D,30102289,23/03/2016 15:40
3640882-1458747810-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155927662,23/03/2016 15:43
3640735-1458747624-216,APPROVED,31.14,EUR,31.14,EUR,105.63,TRY,3DAUTH,10-1458747601-2344-1936929,23/03/2016 15:40
3640705-1458747599-237,WAITING,1,EUR,1,EUR,1,EUR,3D,1691-1458747599-1777-4668058,23/03/2016 15:39
3640744-1458747637-216,APPROVED,18.68,EUR,18.68,EUR,63.37,TRY,3DAUTH,10-1458747598-3599-17347,23/03/2016 15:40
3640678-1458747562-171,DECLINED,30,EUR,30,EUR,298.52,NOK,DIRECT,34-1458747561-6982-399292,23/03/2016 15:39
3640693-1458747581-216,APPROVED,10.9,EUR,10.9,EUR,36.98,TRY,3DAUTH,10-1458747558-7704-12603,23/03/2016 15:39
3640711-1458747602-216,DECLINED,31.14,EUR,31.14,EUR,105.63,TRY,3DAUTH,10-1458747557-4004-4627223,23/03/2016 15:40
3640690-1458747577-107,APPROVED,10.84,EUR,10.84,EUR,36.77,TRY,3DAUTH,578-1458747551-6804-4297777,23/03/2016 15:39
3640666-1458747552-199,APPROVED,10.86,EUR,10.86,EUR,108.07,NOK,DIRECT,419-1458747551-7383-1351758,23/03/2016 15:39
3640663-1458747550-119,APPROVED,100,EUR,100,EUR,995.06,NOK,DIRECT,5-1458747549-6368-4540502,23/03/2016 15:39
3640717-1458747606-216,DECLINED,15.57,EUR,15.57,EUR,52.92,TRY,3DAUTH,10-1458747539-1208-747890,23/03/2016 15:40
3640687-1458747570-101,APPROVED,16.06,EUR,16.06,EUR,54.58,TRY,3DAUTH,99-1458747532-4013-4293976,23/03/2016 15:39
3640654-1458747530-199,APPROVED,27.16,EUR,27.16,EUR,270.26,NOK,DIRECT,424-1458747530-3813-4569053,23/03/2016 15:38
3640723-1458747615-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155927462,23/03/2016 15:40
3640645-1458747527-264,DECLINED,100,EUR,100,EUR,100,EUR,DIRECT,49641929,23/03/2016 15:38
3640681-1458747564-216,APPROVED,11.68,EUR,11.68,EUR,39.7,TRY,3DAUTH,10-1458747523-6589-4271683,23/03/2016 15:39
3640630-1458747512-171,DECLINED,10,EUR,10,EUR,99.51,NOK,DIRECT,34-1458747512-2454-399292,23/03/2016 15:38
3640627-1458747511-224,APPROVED,43.29,EUR,43.29,EUR,430.76,NOK,DIRECT,12-1458747510-6665-712241,23/03/2016 15:38
3640621-1458747499-200,APPROVED,54.8,EUR,54.8,EUR,545.3,NOK,STORED,59-1458747498-5332-107596,23/03/2016 15:38
3640618-1458747494-224,APPROVED,43.29,EUR,43.29,EUR,430.76,NOK,DIRECT,12-1458747493-9397-4576319,23/03/2016 15:38
3640612-1458747488-216,WAITING,11.83,EUR,11.83,EUR,40.21,TRY,3D,10-1458747488-2013-4271683,23/03/2016 15:38
3640642-1458747526-203,DECLINED,15.5,EUR,15.5,EUR,52.68,TRY,3DAUTH,1477-1458747486-6152-4668054,23/03/2016 15:38
3640633-1458747514-216,APPROVED,46.7,EUR,46.7,EUR,158.71,TRY,3DAUTH,10-1458747478-6403-4373083,23/03/2016 15:38
3640684-1458747568-126,APPROVED,24.6,EUR,24.6,EUR,244.79,NOK,3DAUTH,47-1458747471-0059-4594049,23/03/2016 15:39
3640591-1458747469-125,APPROVED,18,EUR,18,EUR,18,EUR,DIRECT,133-1458747468-9033-2996477,23/03/2016 15:37
3640588-1458747464-261,APPROVED,32.09,EUR,32.09,EUR,319.32,NOK,DIRECT,32-1458747463-3011-254603,23/03/2016 15:37
3640585-1458747463-289,WAITING,500,TRY,500,TRY,500,TRY,3D,155927312,23/03/2016 15:37
3640699-1458747583-289,APPROVED,1000,TRY,1000,TRY,1000,TRY,3DAUTH,155927302,23/03/2016 15:39
3640576-1458747445-264,DECLINED,100,TRY,31.11,EUR,105.5,TRY,3D,49641309,23/03/2016 15:37
3640624-1458747505-107,APPROVED,15.49,EUR,15.49,EUR,52.65,TRY,3DAUTH,578-1458747432-1216-698909,23/03/2016 15:38
3640579-1458747456-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,91-1458747432-0396-2383647,23/03/2016 15:37
3640561-1458747422-171,DECLINED,10,EUR,10,EUR,99.51,NOK,DIRECT,34-1458747422-5544-399292,23/03/2016 15:37
3640999-1458747945-63,APPROVED,200,TRY,200,TRY,200,TRY,3DAUTH,DP1069720,23/03/2016 15:45
3640597-1458747477-212,DECLINED,410,EUR,410,EUR,4079.73,NOK,3DAUTH,888-1458747403-8919-4668050,23/03/2016 15:37
3640546-1458747400-237,APPROVED,1,EUR,1,EUR,1,EUR,DIRECT,963-1458747395-1448-4668046,23/03/2016 15:36
3640537-1458747396-200,APPROVED,20,EUR,20,EUR,199.02,NOK,STORED,239-1458747395-789-153187,23/03/2016 15:36
3640543-1458747397-107,ERROR,61.96,EUR,61.96,EUR,210.57,TRY,3D,578-1458747396-5027-871424,23/03/2016 15:36
3640555-1458747415-56,APPROVED,159.13,EUR,159.13,EUR,540.79,TRY,3DAUTH,30102229,23/03/2016 15:36
3640534-1458747395-145,APPROVED,52.97,EUR,52.97,EUR,527.09,NOK,DIRECT,73-1458747395-0444-4605038,23/03/2016 15:36
3640528-1458747393-119,APPROVED,25,EUR,25,EUR,248.77,NOK,DIRECT,21-1458747392-6295-6938,23/03/2016 15:36
3640525-1458747393-216,WAITING,10.9,EUR,10.9,EUR,37.05,TRY,3D,10-1458747392-5247-1811028,23/03/2016 15:36
3640513-1458747381-82,DECLINED,2.95,USD,2.49,EUR,2.95,USD,DIRECT,312148301,23/03/2016 15:36
3640600-1458747478-216,DECLINED,31.76,EUR,31.76,EUR,107.94,TRY,3DAUTH,10-1458747376-5422-353324,23/03/2016 15:37
3640507-1458747375-126,APPROVED,102.5,EUR,102.5,EUR,1019.94,NOK,DIRECT,48-1458747375-3016-179622,23/03/2016 15:36
3640504-1458747369-224,APPROVED,32.47,EUR,32.47,EUR,323.1,NOK,DIRECT,12-1458747368-724-160054,23/03/2016 15:36
3640615-1458747491-289,WAITING,300,TRY,300,TRY,300,TRY,3DAUTH,155927122,23/03/2016 15:38
3640516-1458747385-216,DECLINED,10.9,EUR,10.9,EUR,36.93,TRY,3DAUTH,10-1458747358-8456-3696074,23/03/2016 15:36
3640519-1458747385-56,APPROVED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30102217,23/03/2016 15:36
3640486-1458747346-261,APPROVED,53.49,EUR,53.49,EUR,532.47,NOK,DIRECT,32-1458747346-1867-740636,23/03/2016 15:35
3640522-1458747388-56,APPROVED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30102215,23/03/2016 15:36
3640477-1458747339-125,APPROVED,200,EUR,200,EUR,1990.92,NOK,DIRECT,133-1458747339-5966-4664598,23/03/2016 15:35
3640573-1458747432-289,WAITING,500,TRY,500,TRY,500,TRY,3DAUTH,155927062,23/03/2016 15:37
3640468-1458747334-119,APPROVED,200,EUR,200,EUR,1990.92,NOK,DIRECT,5-1458747333-6662-33367,23/03/2016 15:35
3640465-1458747330-119,APPROVED,100,EUR,100,EUR,995.46,NOK,DIRECT,5-1458747330-374-706457,23/03/2016 15:35
3640462-1458747325-98,APPROVED,1,EUR,1,EUR,1,EUR,DIRECT,1399-1458747320-5764-4668042,23/03/2016 15:35
3640606-1458747479-289,APPROVED,550,TRY,550,TRY,550,TRY,3DAUTH,155927042,23/03/2016 15:37
3640456-1458747313-101,WAITING,25.7,EUR,25.7,EUR,87.07,TRY,3D,99-1458747312-7371-4364311,23/03/2016 15:35
3640636-1458747523-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155927032,23/03/2016 15:38
3640495-1458747358-56,APPROVED,36.3,EUR,36.3,EUR,122.98,TRY,3DAUTH,30102204,23/03/2016 15:35
3640531-1458747393-289,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,155927012,23/03/2016 15:36
3640441-1458747287-289,WAITING,5000,TRY,5000,TRY,5000,TRY,3D,155926992,23/03/2016 15:34
3640429-1458747279-82,APPROVED,6.95,GBP,8.31,EUR,6.95,GBP,DIRECT,312148139,23/03/2016 15:34
3640432-1458747279-264,DECLINED,300,TRY,93.42,EUR,110.27,USD,3DAUTH,49640907,23/03/2016 15:34
3640420-1458747273-224,APPROVED,10.82,EUR,10.82,EUR,107.71,NOK,DIRECT,12-1458747272-4261-242566,23/03/2016 15:34
3640492-1458747356-216,APPROVED,11.21,EUR,11.21,EUR,37.98,TRY,3DAUTH,10-1458747269-1438-4147783,23/03/2016 15:35
3640447-1458747296-216,APPROVED,15.57,EUR,15.57,EUR,52.75,TRY,3DAUTH,10-1458747266-0679-4532945,23/03/2016 15:34
3640405-1458747263-200,APPROVED,32.88,EUR,32.88,EUR,327.31,NOK,STORED,59-1458747263-2745-4440019,23/03/2016 15:34
3640648-1458747528-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155926882,23/03/2016 15:38
3640435-1458747280-264,APPROVED,66,TRY,20.55,EUR,69.63,TRY,3DAUTH,49640659,23/03/2016 15:34
3640438-1458747284-164,APPROVED,150,EUR,150,EUR,150,EUR,3DAUTH,219-1458747242-9363-577289,23/03/2016 15:34
3640396-1458747257-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458747242-9072-4668038,23/03/2016 15:34
3640381-1458747242-264,WAITING,66,TRY,20.55,EUR,69.63,TRY,3D,49640659,23/03/2016 15:34
3640423-1458747273-119,APPROVED,100,EUR,100,EUR,100,EUR,3DAUTH,91-1458747235-4262-4474697,23/03/2016 15:34
3640483-1458747343-119,APPROVED,25,EUR,25,EUR,248.87,NOK,3DAUTH,442-1458747232-1663-4665642,23/03/2016 15:35
3640402-1458747260-124,APPROVED,10.59,EUR,10.59,EUR,105.42,NOK,3DAUTH,1138-1458747221-4579-4668034,23/03/2016 15:34
3640399-1458747259-216,APPROVED,10.9,EUR,10.9,EUR,36.93,TRY,3DAUTH,10-1458747215-8776-4668030,23/03/2016 15:34
3640564-1458747423-289,APPROVED,439,TRY,439,TRY,439,TRY,3DAUTH,155926792,23/03/2016 15:37
3640348-1458747200-161,APPROVED,87.46,EUR,87.46,EUR,136.08,AUD,STORED,1396-1458747199-9539-4594052,23/03/2016 15:33
3640339-1458747196-161,DECLINED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747195-8198-4632039,23/03/2016 15:33
3640378-1458747241-56,APPROVED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30102174,23/03/2016 15:34
3640330-1458747193-161,DECLINED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747192-6146-4631803,23/03/2016 15:33
3640327-1458747189-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747189-4982-4648923,23/03/2016 15:33
3640318-1458747185-161,APPROVED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747184-6992-4651899,23/03/2016 15:33
3640333-1458747194-216,DECLINED,10.9,EUR,10.9,EUR,36.93,TRY,3DAUTH,10-1458747185-1481-4667118,23/03/2016 15:33
3640312-1458747180-161,APPROVED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747180-058-4651875,23/03/2016 15:33
3640351-1458747210-56,DECLINED,36.3,EUR,36.3,EUR,123.13,TRY,3DAUTH,30102168,23/03/2016 15:33
3640309-1458747177-161,DECLINED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747176-4966-4651711,23/03/2016 15:32
3640345-1458747199-56,APPROVED,32.13,EUR,32.13,EUR,108.99,TRY,3DAUTH,30102166,23/03/2016 15:33
3640303-1458747175-187,APPROVED,126.94,EUR,126.94,EUR,1265.12,NOK,DIRECT,346-1458747174-2881-769199,23/03/2016 15:32
3640300-1458747173-161,DECLINED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747173-0933-4651683,23/03/2016 15:32
3640297-1458747168-161,APPROVED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747168-3494-4651635,23/03/2016 15:32
3640342-1458747199-101,DECLINED,159.13,EUR,159.13,EUR,539.76,TRY,3DAUTH,99-1458747165-1281-4370005,23/03/2016 15:33
3640291-1458747163-161,APPROVED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747163-0926-4651619,23/03/2016 15:32
3640288-1458747161-224,APPROVED,27.36,EUR,27.36,EUR,3639.86,JPY,DIRECT,12-1458747161-4162-3378623,23/03/2016 15:32
3640285-1458747158-161,APPROVED,89,EUR,89,EUR,89,EUR,STORED,1396-1458747158-2592-4651587,23/03/2016 15:32
3640282-1458747157-261,APPROVED,21.4,EUR,21.4,EUR,213.28,NOK,DIRECT,32-1458747157-3299-4668026,23/03/2016 15:32
3640279-1458747157-224,APPROVED,72.95,EUR,72.95,EUR,9704.94,JPY,DIRECT,12-1458747157-0487-3754099,23/03/2016 15:32
3640273-1458747153-161,APPROVED,87.46,EUR,87.46,EUR,136.36,AUD,STORED,1396-1458747151-9611-4651539,23/03/2016 15:32
3640276-1458747153-224,APPROVED,15.15,EUR,15.15,EUR,150.99,NOK,DIRECT,12-1458747152-607-242566,23/03/2016 15:32
3640414-1458747268-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458747151-0315-4668022,23/03/2016 15:34
3640267-1458747149-161,DECLINED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747148-4964-4593329,23/03/2016 15:32
3640264-1458747145-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747145-3612-4628431,23/03/2016 15:32
3640255-1458747143-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747142-5371-4648899,23/03/2016 15:32
3640324-1458747187-264,APPROVED,18,TRY,5.6,EUR,18.99,TRY,3DAUTH,49640373,23/03/2016 15:33
3640252-1458747141-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155926652,23/03/2016 15:32
3640246-1458747137-161,APPROVED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747136-7104-4548416,23/03/2016 15:32
3640243-1458747133-161,DECLINED,21.87,EUR,21.87,EUR,34.1,AUD,STORED,1396-1458747132-6468-4553513,23/03/2016 15:32
3640234-1458747129-161,DECLINED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747128-8253-4593194,23/03/2016 15:32
3640231-1458747125-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747124-5647-4627963,23/03/2016 15:32
3640228-1458747121-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747121-097-4627859,23/03/2016 15:32
3640225-1458747118-171,DECLINED,10,EUR,10,EUR,99.67,NOK,DIRECT,34-1458747117-7503-399292,23/03/2016 15:31
3640222-1458747117-161,DECLINED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747117-3885-4554551,23/03/2016 15:31
3640219-1458747115-119,APPROVED,50,EUR,50,EUR,498.32,NOK,DIRECT,5-1458747115-0895-4251424,23/03/2016 15:31
3640213-1458747114-161,DECLINED,22.25,EUR,22.25,EUR,22.25,EUR,STORED,1396-1458747114-1806-4647667,23/03/2016 15:31
3640411-1458747266-254,APPROVED,275,TRY,275,TRY,275,TRY,3DAUTH,PK-10816,23/03/2016 15:34
3640204-1458747109-161,APPROVED,21.87,EUR,21.87,EUR,34.1,AUD,STORED,1396-1458747109-002-4647655,23/03/2016 15:31
3640261-1458747145-56,APPROVED,32.13,EUR,32.13,EUR,108.99,TRY,3DAUTH,30102144,23/03/2016 15:32
3640198-1458747108-224,APPROVED,10.82,EUR,10.82,EUR,107.84,NOK,DIRECT,12-1458747107-7676-504302,23/03/2016 15:31
3640195-1458747105-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747105-2683-4648855,23/03/2016 15:31
3640240-1458747131-212,DECLINED,108.51,EUR,108.51,EUR,1081.44,NOK,3DAUTH,888-1458747104-4205-4472738,23/03/2016 15:32
3640186-1458747102-161,DECLINED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747101-6847-4648835,23/03/2016 15:31
3640183-1458747098-161,DECLINED,43.73,EUR,43.73,EUR,68.18,AUD,STORED,1396-1458747098-0496-4648807,23/03/2016 15:31
3640180-1458747097-289,WAITING,5000,TRY,5000,TRY,5000,TRY,3D,155926542,23/03/2016 15:31
3640177-1458747094-161,DECLINED,44.5,EUR,44.5,EUR,44.5,EUR,STORED,1396-1458747094-4786-4593053,23/03/2016 15:31
